model,parameter_signature,mean_test_score,std_test_score,fold_1_balanced_accuracy,fold_2_balanced_accuracy,fold_3_balanced_accuracy,fold_4_balanced_accuracy,fold_5_balanced_accuracy,param_C,param_class_weight,param_max_depth,param_min_samples_leaf,param_ccp_alpha,param_kernel
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=None; min_samples_leaf=5,0.5363015647226174,0.05118012456464462,0.6294452347083925,0.5389758179231863,0.5342816500711237,0.4870554765291607,0.4917496443812233,,balanced,,5.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=None; min_samples_leaf=5,0.5363015647226174,0.05118012456464462,0.6294452347083925,0.5389758179231863,0.5342816500711237,0.4870554765291607,0.4917496443812233,,balanced,,5.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=None; min_samples_leaf=5,0.5363015647226174,0.05118012456464462,0.6294452347083925,0.5389758179231863,0.5342816500711237,0.4870554765291607,0.4917496443812233,,balanced,,5.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=None; min_samples_leaf=5,0.5363015647226174,0.05118012456464462,0.6294452347083925,0.5389758179231863,0.5342816500711237,0.4870554765291607,0.4917496443812233,,balanced,,5.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=None; min_samples_leaf=5,0.5421906116642958,0.05726826127733726,0.6125177809388336,0.5591749644381223,0.5889046941678521,0.4748221906116643,0.4755334281650071,,balanced,,5.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=None; min_samples_leaf=10,0.5190042674253201,0.019291951212815794,0.547226173541963,0.5155049786628734,0.5046941678520626,0.5337126600284495,0.49388335704125175,,,,10.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=None; min_samples_leaf=10,0.5190042674253201,0.019291951212815794,0.547226173541963,0.5155049786628734,0.5046941678520626,0.5337126600284495,0.49388335704125175,,,,10.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=None; min_samples_leaf=10,0.5190042674253201,0.019291951212815794,0.547226173541963,0.5155049786628734,0.5046941678520626,0.5337126600284495,0.49388335704125175,,,,10.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=None; min_samples_leaf=10,0.5003982930298719,0.008529823080630404,0.5,0.4891891891891892,0.4972972972972973,0.5155049786628734,0.5,,,,10.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=None; min_samples_leaf=10,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,,10.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=None; min_samples_leaf=10,0.5400284495021337,0.04598715722204742,0.5854907539118065,0.5436699857752489,0.5916073968705547,0.5092460881934566,0.4701280227596017,,balanced,,10.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=None; min_samples_leaf=10,0.5400284495021337,0.04598715722204742,0.5854907539118065,0.5436699857752489,0.5916073968705547,0.5092460881934566,0.4701280227596017,,balanced,,10.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=None; min_samples_leaf=10,0.5400284495021337,0.04598715722204742,0.5854907539118065,0.5436699857752489,0.5916073968705547,0.5092460881934566,0.4701280227596017,,balanced,,10.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=None; min_samples_leaf=10,0.5346230440967283,0.04562120506053418,0.5854907539118065,0.5274537695590327,0.5862019914651493,0.5038406827880513,0.4701280227596017,,balanced,,10.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=None; min_samples_leaf=10,0.5268847795163585,0.047628494198422786,0.6002844950213371,0.5186344238975817,0.553769559032717,0.5024182076813656,0.4593172119487909,,balanced,,10.0,0.01,
SVC,C=0.1; class_weight=None; kernel=linear,0.5025604551920342,0.011328476007733545,0.5,0.4891891891891892,0.5,0.5,0.5236130867709815,0.1,,,,,linear
SVC,C=0.1; class_weight=balanced; kernel=linear,0.6253200568990043,0.04365992998888334,0.6152204836415363,0.5807965860597439,0.5955903271692745,0.7062588904694167,0.6287339971550497,0.1,balanced,,,,linear
SVC,C=0.1; class_weight=None; kernel=rbf,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.1,,,,,rbf
SVC,C=0.1; class_weight=balanced; kernel=rbf,0.6040967283072547,0.045197243312853574,0.6096728307254623,0.5746799431009957,0.571977240398293,0.6900426742532005,0.5741109530583215,0.1,balanced,,,,rbf
SVC,C=1.0; class_weight=None; kernel=linear,0.5025604551920342,0.011328476007733545,0.5,0.4891891891891892,0.5,0.5,0.5236130867709815,1.0,,,,,linear
SVC,C=1.0; class_weight=balanced; kernel=linear,0.6077667140825035,0.052237779381961606,0.5780938833570413,0.5490753911806543,0.5874822190611664,0.7008534850640114,0.6233285917496444,1.0,balanced,,,,linear
SVC,C=1.0; class_weight=None; kernel=rbf,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,,,,,rbf
SVC,C=1.0; class_weight=balanced; kernel=rbf,0.5708961593172119,0.03751092479135019,0.5829302987197724,0.5694167852062589,0.5369843527738265,0.634850640113798,0.530298719772404,1.0,balanced,,,,rbf
SVC,C=5.0; class_weight=None; kernel=linear,0.5025604551920342,0.011328476007733545,0.5,0.4891891891891892,0.5,0.5,0.5236130867709815,5.0,,,,,linear
SVC,C=5.0; class_weight=balanced; kernel=linear,0.6088477951635847,0.05309940861836093,0.5753911806543386,0.5517780938833571,0.5874822190611664,0.703556187766714,0.6260312944523471,5.0,balanced,,,,linear
SVC,C=5.0; class_weight=None; kernel=rbf,0.5014793741109531,0.011645754267016348,0.4972972972972973,0.4972972972972973,0.4891891891891892,0.5236130867709815,0.5,5.0,,,,,rbf
SVC,C=5.0; class_weight=balanced; kernel=rbf,0.5201991465149359,0.023822275168388213,0.557325746799431,0.4884779516358464,0.5012802275960171,0.5283072546230441,0.5256045519203414,5.0,balanced,,,,rbf
